"Reporter","Partner","HS2_Code","Commodity","Value","Growth","Growth4Graph","AverageGrowth","RCA","RCA4Graph","Quadrant","x","y","GrowthRCA_ImportHS2_Group_Code","GrowthRCA_ImportHS2_Description","ProductGroup_Group_Code","ProductGroup_Description"
"Cambodia","Thailand","55","Man-made staple fibres",867681.27,"-77.427378867236",-77.42,-63.10,0.02,0.02,"DOG",-1,-1,"9","Textiles",10.00,"Textiles and Clothing"
"Cambodia","Thailand","56","Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",588004.35,"-54.6112989024707",-54.61,-63.10,0.28,0.28,"INTRO",-1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Cambodia","Thailand","57","Carpets and other textile floor coverings",158373.89,"-52.7971171451282",-52.79,-63.10,2.26,2.26,"STAR",1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Cambodia","Thailand","58","Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",2305351.00,"-73.795649047073",-73.79,-63.10,0.31,0.31,"DOG",-1,-1,"9","Textiles",10.00,"Textiles and Clothing"
"Cambodia","Thailand","59","Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",242084.93,"-73.5723228905998",-73.57,-63.10,0.04,0.04,"DOG",-1,-1,"9","Textiles",10.00,"Textiles and Clothing"
"Cambodia","Thailand","60","Fabrics; knitted or crocheted",16616482.81,"-73.5984014947406",-73.59,-63.10,0.19,0.19,"DOG",-1,-1,"9","Textiles",10.00,"Textiles and Clothing"
"Cambodia","Thailand","61","Apparel and clothing accessories; knitted or crocheted",244066.25,"-71.7532868918308",-71.75,-63.10,0.25,0.25,"DOG",-1,-1,"9","Textiles",10.00,"Textiles and Clothing"
"Cambodia","Thailand","62","Apparel and clothing accessories; not knitted or crocheted",429623.09,"-73.9896728204443",-73.98,-63.10,0.21,0.21,"DOG",-1,-1,"9","Textiles",10.00,"Textiles and Clothing"
"Cambodia","Thailand","63","Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1370976.36,"-40.5963030323138",-40.59,-63.10,0.37,0.37,"INTRO",-1,1,"9","Textiles",10.00,"Textiles and Clothing"
"Cambodia","Thailand","64","Footwear; gaiters and the like; parts of such articles",489524.92,"-73.5406243221313",-73.54,-63.10,0.10,0.10,"DOG",-1,-1,"10","Footwear / Headgear",11.00,"Footwear"
"Cambodia","Thailand","65","Headgear and parts thereof",226156.96,"-81.2263743599762",-81.22,-63.10,2.55,2.55,"COW",1,-1,"10","Footwear / Headgear",11.00,"Footwear"
"Cambodia","Thailand","66","Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",879.95,"-93.7673267537118",-93.76,-63.10,2.42863929469584e-03,2.42863929469584e-03,"DOG",-1,-1,"10","Footwear / Headgear",11.00,"Footwear"
"Cambodia","Thailand","68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",6719026.25,"-73.091164437864",-73.09,-63.10,3.17,3.17,"COW",1,-1,"11","Stone / Glass",12.00,"Stone and Glass"
"Cambodia","Thailand","69","Ceramic products",2031866.42,"-75.7420361745955",-75.74,-63.10,0.59,0.59,"DOG",-1,-1,"11","Stone / Glass",12.00,"Stone and Glass"
"Cambodia","Thailand","70","Glass and glassware",1523355.44,"-30.5193164823684",-30.51,-63.10,0.79,0.79,"INTRO",-1,1,"11","Stone / Glass",12.00,"Stone and Glass"
"Cambodia","Thailand","71","Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",64189073.24,"-67.5211822679578",-67.52,-63.10,4.67,4.67,"COW",1,-1,"11","Stone / Glass",12.00,"Stone and Glass"
"Cambodia","Thailand","72","Iron and steel",1553255.77,"-58.1898716942709",-58.18,-63.10,0.17,0.17,"INTRO",-1,1,"12","Metals",13.00,"Metals"
"Cambodia","Thailand","73","Iron or steel articles",6141920.85,"-74.6140675690778",-74.61,-63.10,0.63,0.63,"DOG",-1,-1,"12","Metals",13.00,"Metals"
"Cambodia","Thailand","74","Copper and articles thereof",72719.20,"-68.9852283274435",-68.98,-63.10,0.17,0.17,"DOG",-1,-1,"12","Metals",13.00,"Metals"
"Cambodia","Thailand","76","Aluminium and articles thereof",5632464.77,"-66.7427234389207",-66.74,-63.10,0.69,0.69,"DOG",-1,-1,"12","Metals",13.00,"Metals"
"Cambodia","Thailand","78","Lead and articles thereof",1566.94,"-89.7087538051813",-89.70,-63.10,0.40,0.40,"DOG",-1,-1,"12","Metals",13.00,"Metals"
"Cambodia","Thailand","79","Zinc and articles thereof",6523.79,"-82.9174722910596",-82.91,-63.10,0.03,0.03,"DOG",-1,-1,"12","Metals",13.00,"Metals"
"Cambodia","Thailand","80","Tin; articles thereof",48224.22,"-54.7767242233005",-54.77,-63.10,4.00,4.00,"STAR",1,1,"12","Metals",13.00,"Metals"
"Cambodia","Thailand","82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",231829.61,"-66.2816100438298",-66.28,-63.10,0.28,0.28,"DOG",-1,-1,"12","Metals",13.00,"Metals"
"Cambodia","Thailand","83","Metal; miscellaneous products of base metal",817265.03,"-78.6784916764345",-78.67,-63.10,0.34,0.34,"DOG",-1,-1,"12","Metals",13.00,"Metals"
"Cambodia","Thailand","84","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",24941440.53,"-75.7976618241119",-75.79,-63.10,0.69,0.69,"DOG",-1,-1,"13","Machinery / Electrical",14.00,"Machinery/Electrical"
"Cambodia","Thailand","85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",40735205.69,"-72.8753014067921",-72.87,-63.10,1.49,1.49,"COW",1,-1,"13","Machinery / Electrical",14.00,"Machinery/Electrical"
"Cambodia","Thailand","87","Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",101661001.92,"-66.1229992600294",-66.12,-63.10,1.96,1.96,"COW",2,-1,"14","Transportation",15.00,"Transportation"
"Cambodia","Thailand","88","Aircraft, spacecraft and parts thereof",1441.19,"Infinity",100.00,-63.10,5.3073366360216e-04,5.3073366360216e-04,"INTRO",-1,1,"14","Transportation",15.00,"Transportation"
"Cambodia","Thailand","90","Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1329415.95,"-79.5657506661379",-79.56,-63.10,0.52,0.52,"DOG",-1,-1,"15","Miscellaneous",16.00,"Miscellaneous"
"Cambodia","Thailand","91","Clocks and watches and parts thereof",28870.56,"-52.8263217156311",-52.82,-63.10,0.27,0.27,"INTRO",-1,1,"15","Miscellaneous",16.00,"Miscellaneous"
"Cambodia","Thailand","94","Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",2123714.49,"-88.9432427598356",-88.94,-63.10,0.77,0.77,"DOG",-1,-1,"15","Miscellaneous",16.00,"Miscellaneous"
"Cambodia","Thailand","95","Toys, games and sports requisites; parts and accessories thereof",264124.28,"-62.0397838521795",-62.03,-63.10,0.18,0.18,"INTRO",-1,1,"15","Miscellaneous",16.00,"Miscellaneous"
"Cambodia","Thailand","96","Miscellaneous manufactured articles",2596782.62,"-59.965614598846",-59.96,-63.10,0.40,0.40,"INTRO",-1,1,"15","Miscellaneous",16.00,"Miscellaneous"
"Cambodia","Thailand","99","Other products",5344.84,"-92.884726184885",-92.88,-63.10,0.07,0.07,"DOG",-1,-1,"15","Miscellaneous",16.00,"Miscellaneous"
"Cambodia","Viet Nam","01","Animals; live",697778.60,"1729.78396453813",100.00,-69.38,2.52,2.52,"STAR",1,1,"1","Animal & Animal Products",1.00,"Animal"
"Cambodia","Viet Nam","03","Fish and crustaceans, molluscs and other aquatic invertebrates",721196.66,"-79.110309886664",-79.11,-69.38,7.69,7.69,"COW",1,-1,"1","Animal & Animal Products",1.00,"Animal"
"Cambodia","Viet Nam","04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",377865.01,"-81.6090280924139",-81.60,-69.38,0.58,0.58,"DOG",-1,-1,"1","Animal & Animal Products",1.00,"Animal"
"Cambodia","Viet Nam","06","Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",5723.15,"Infinity",100.00,-69.38,0.64,0.64,"INTRO",-1,1,"2","Vegetable Products",2.00,"Vegetable"
"Cambodia","Viet Nam","07","Vegetables and certain roots and tubers; edible",431369.31,"-75.3645303769641",-75.36,-69.38,0.93,0.93,"DOG",-1,-1,"2","Vegetable Products",2.00,"Vegetable"
"Cambodia","Viet Nam","08","Fruit and nuts, edible; peel of citrus fruit or melons",490294.27,"-71.9331622493701",-71.93,-69.38,2.25,2.25,"COW",2,-1,"2","Vegetable Products",2.00,"Vegetable"
"Cambodia","Viet Nam","09","Coffee, tea, mate and spices",264040.87,"-50.2478413967309",-50.24,-69.38,1.86,1.86,"STAR",1,1,"2","Vegetable Products",2.00,"Vegetable"
"Cambodia","Viet Nam","10","Cereals",91778.91,"-98.1939596548622",-98.19,-69.38,0.37,0.37,"DOG",-1,-1,"2","Vegetable Products",2.00,"Vegetable"
"Cambodia","Viet Nam","11","Products of the milling industry; malt, starches, inulin, wheat gluten",1531933.20,"-54.3207746284468",-54.32,-69.38,1.06,1.06,"STAR",1,1,"2","Vegetable Products",2.00,"Vegetable"
"Cambodia","Viet Nam","12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",26258.42,"-80.8331035868122",-80.83,-69.38,0.58,0.58,"DOG",-1,-1,"2","Vegetable Products",2.00,"Vegetable"
"Cambodia","Viet Nam","15","Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes",1561511.37,"-74.71058585725",-74.71,-69.38,2.79,2.79,"COW",1,-1,"2","Vegetable Products",2.00,"Vegetable"
"Cambodia","Viet Nam","16","Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",164499.07,"-78.7277495528405",-78.72,-69.38,0.68,0.68,"DOG",-1,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Viet Nam","17","Sugars and sugar confectionery",184850.85,"-93.3507199187584",-93.35,-69.38,0.12,0.12,"DOG",-1,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Viet Nam","18","Cocoa and cocoa preparations",43378.68,"-77.3583641155166",-77.35,-69.38,0.86,0.86,"DOG",-1,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Viet Nam","19","Preparations of cereals, flour, starch or milk; pastrycooks' products",1295409.39,"-83.2710757944624",-83.27,-69.38,0.47,0.47,"DOG",-2,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Viet Nam","20","Preparations of vegetables, fruit, nuts or other parts of plants",54919.94,"-94.3051167876444",-94.30,-69.38,0.17,0.17,"DOG",-1,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Viet Nam","21","Miscellaneous edible preparations",402894.56,"-82.6537827609898",-82.65,-69.38,0.18,0.18,"DOG",-1,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Viet Nam","22","Beverages, spirits and vinegar",423230.75,"-85.9253178261824",-85.92,-69.38,0.06,0.06,"DOG",-1,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Viet Nam","23","Food industries, residues and wastes thereof; prepared animal fodder",15213317.77,"-76.7857271293102",-76.78,-69.38,3.02,3.02,"COW",2,-1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Viet Nam","24","Tobacco and manufactured tobacco substitutes",1421247.72,"-64.3613663200793",-64.36,-69.38,0.23,0.23,"INTRO",-1,1,"3","Foodstuffs",3.00,"Food Products"
"Cambodia","Viet Nam","25","Salt; sulphur; earths, stone; plastering materials, lime and cement",2185359.16,"-83.0465832672736",-83.04,-69.38,0.75,0.75,"DOG",-1,-1,"4","Mineral Products",4.00,"Minerals"
"Cambodia","Viet Nam","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",104151789.32,"-69.2666742815133",-69.26,-69.38,2.69,2.69,"STAR",1,1,"5","Chemicals & Allied Industries",5.00,"Fuels"
