Date,Rate,Country
5/24/2017,95.87,Thailand
5/25/2017,100.65,Cambodia
5/25/2017,100.09,Lao PDR
5/25/2017,100.92,Myanmar
5/25/2017,99.48,Vietnam
5/25/2017,95.31,Thailand
5/26/2017,99.71,Cambodia
5/26/2017,100.1,Lao PDR
5/26/2017,100.11,Myanmar
5/26/2017,99.7,Vietnam
5/26/2017,95.06,Thailand
5/29/2017,100.59,Cambodia
5/29/2017,100.23,Lao PDR
5/29/2017,100.51,Myanmar
5/29/2017,99.77,Vietnam
5/29/2017,95.23,Thailand
5/30/2017,100.78,Cambodia
5/30/2017,100.14,Lao PDR
5/30/2017,100.66,Myanmar
5/30/2017,99.7,Vietnam
5/30/2017,95.27,Thailand
5/31/2017,100.73,Cambodia
5/31/2017,100.15,Lao PDR
5/31/2017,100.85,Myanmar
5/31/2017,99.66,Vietnam
5/31/2017,95.03,Thailand
6/1/2017,100.59,Cambodia
6/1/2017,100.15,Lao PDR
6/1/2017,100.33,Myanmar
6/1/2017,99.64,Vietnam
6/1/2017,95.34,Thailand
6/2/2017,100.61,Cambodia
6/2/2017,100.23,Lao PDR
6/2/2017,100.18,Myanmar
6/2/2017,99.66,Vietnam
6/2/2017,95.04,Thailand
6/5/2017,100.63,Cambodia
6/5/2017,100.15,Lao PDR
6/5/2017,99.71,Myanmar
6/5/2017,99.66,Vietnam
6/5/2017,94.95,Thailand
6/6/2017,100.45,Cambodia
6/6/2017,100.16,Lao PDR
6/6/2017,99.85,Myanmar
6/6/2017,99.7,Vietnam
6/6/2017,94.78,Thailand
6/7/2017,100.85,Cambodia
6/7/2017,100.2,Lao PDR
6/7/2017,100,Myanmar
6/7/2017,99.7,Vietnam
6/7/2017,95,Thailand
6/8/2017,101.29,Cambodia
6/8/2017,100.27,Lao PDR
6/8/2017,99.34,Myanmar
6/8/2017,99.55,Vietnam
6/8/2017,95.14,Thailand
6/9/2017,100.42,Cambodia
6/9/2017,100.14,Lao PDR
6/9/2017,99.71,Myanmar
6/9/2017,99.54,Vietnam
6/9/2017,95.1,Thailand
6/12/2017,101.01,Cambodia
6/12/2017,100.36,Lao PDR
6/12/2017,100.11,Myanmar
6/12/2017,99.56,Vietnam
6/12/2017,95.06,Thailand
6/13/2017,100.91,Cambodia
6/13/2017,100.5,Lao PDR
6/13/2017,100.51,Myanmar
6/13/2017,99.56,Vietnam
6/13/2017,94.68,Thailand
6/14/2017,101.03,Cambodia
6/14/2017,100.49,Lao PDR
6/14/2017,100.48,Myanmar
6/14/2017,99.61,Vietnam
6/14/2017,94.67,Thailand
6/15/2017,101.03,Cambodia
6/15/2017,100.53,Lao PDR
6/15/2017,99.85,Myanmar
6/15/2017,99.55,Vietnam
6/15/2017,94.84,Thailand
6/16/2017,100.57,Cambodia
6/16/2017,100.61,Lao PDR
6/16/2017,100.63,Myanmar
6/16/2017,99.55,Vietnam
6/16/2017,94.75,Thailand
6/19/2017,101.06,Cambodia
6/19/2017,100.6,Lao PDR
6/19/2017,99.82,Myanmar
6/19/2017,99.66,Vietnam
6/19/2017,94.84,Thailand
6/20/2017,101.21,Cambodia
6/20/2017,100.72,Lao PDR
6/20/2017,100.63,Myanmar
6/20/2017,99.7,Vietnam
6/20/2017,94.95,Thailand
6/21/2017,101.16,Cambodia
6/21/2017,100.74,Lao PDR
6/21/2017,101.1,Myanmar
6/21/2017,99.59,Vietnam
6/21/2017,94.92,Thailand
6/22/2017,101.25,Cambodia
6/22/2017,100.73,Lao PDR
6/22/2017,100.11,Myanmar
6/22/2017,99.64,Vietnam
6/22/2017,94.89,Thailand
6/23/2017,101.22,Cambodia
6/23/2017,100.73,Lao PDR
6/23/2017,100.18,Myanmar
6/23/2017,99.7,Vietnam
6/23/2017,94.72,Thailand
6/26/2017,101.23,Cambodia
6/26/2017,100.73,Lao PDR
6/26/2017,100.63,Myanmar
6/26/2017,99.7,Vietnam
6/26/2017,94.84,Thailand
6/27/2017,101.19,Cambodia
6/27/2017,100.77,Lao PDR
6/27/2017,100.7,Myanmar
6/27/2017,99.7,Vietnam
6/27/2017,94.86,Thailand
6/28/2017,101.21,Cambodia
6/28/2017,100.75,Lao PDR
6/28/2017,100.66,Myanmar
6/28/2017,99.77,Vietnam
6/28/2017,94.81,Thailand
6/29/2017,101.25,Cambodia
6/29/2017,100.74,Lao PDR
6/29/2017,100.55,Myanmar
6/29/2017,99.73,Vietnam
6/29/2017,94.92,Thailand
6/30/2017,101.28,Cambodia
6/30/2017,100.74,Lao PDR
6/30/2017,100.48,Myanmar
6/30/2017,99.7,Vietnam
6/30/2017,94.72,Thailand
7/3/2017,101.04,Cambodia
7/3/2017,100.69,Lao PDR
7/3/2017,100.59,Myanmar
7/3/2017,99.75,Vietnam
7/3/2017,94.91,Thailand
7/4/2017,100.97,Cambodia
7/4/2017,100.76,Lao PDR
7/4/2017,100.77,Myanmar
7/4/2017,99.75,Vietnam
7/4/2017,94.92,Thailand
7/5/2017,101.29,Cambodia
7/5/2017,100.79,Lao PDR
7/5/2017,100.63,Myanmar
7/5/2017,99.77,Vietnam
7/5/2017,94.95,Thailand
7/6/2017,101.26,Cambodia
7/6/2017,100.82,Lao PDR
7/6/2017,100.74,Myanmar
7/6/2017,99.75,Vietnam
7/6/2017,95.09,Thailand
7/7/2017,101.28,Cambodia
7/7/2017,100.81,Lao PDR
7/7/2017,99.82,Myanmar
7/7/2017,99.7,Vietnam
7/7/2017,95.23,Thailand
7/10/2017,101.44,Cambodia
7/10/2017,100.87,Lao PDR
7/10/2017,99.96,Myanmar
7/10/2017,99.7,Vietnam
7/10/2017,95.25,Thailand
7/11/2017,101.45,Cambodia
7/11/2017,100.81,Lao PDR
